f_X1,f_X2,f_X3,f_X4,f_X5,n_label
0.51889396,0.95849824,1.3009915,0.91181886,0.7567932,0.0
0.37103164,2.1861122,0.49222288,1.3455827,1.1189688,0.0
0.9911164,0.9810595,2.270778,1.5900459,1.2216868,0.0
1.0835564,1.7826486,1.1398767,1.7501619,1.5152445,1.0
1.7377923,2.2792516,1.7168231,1.5239227,1.5381055,0.0
0.847626,0.7677217,1.3460977,1.0009428,0.80449194,0.0
0.6832862,0.893919,1.457595,1.4088831,1.2394739,1.0
0.91692466,1.0147322,0.9703236,1.2032562,0.9834671,1.0
0.9534932,0.66072506,0.18694761,0.74440664,0.8523079,0.0
1.225601,0.45078784,0.5101421,0.6747024,0.8343801,1.0
0.9496731,1.1445155,2.2110472,1.3311659,1.0810114,1.0
0.994543,0.95755047,1.7676337,1.2689422,1.247209,0.0
0.86649346,0.6136968,0.63021976,0.5525897,0.59168476,1.0
0.9689967,2.9494743,0.75770766,1.7812026,1.4649687,0.0
1.514543,1.7389297,0.9680956,1.5908906,1.3323079,0.0
0.9845836,0.63898855,1.3810118,1.1805559,0.96818477,1.0
0.7079704,0.7457138,0.9878794,0.9638078,0.77249205,0.0
0.36715916,1.065956,2.513493,1.3374686,1.1546818,0.0
0.90691054,0.9286625,1.0805885,0.7581304,0.681449,0.0
1.6777664,1.4758643,0.91755366,1.1379629,1.0816977,1.0
0.66084045,1.5436656,1.9519694,1.2411318,1.1051041,1.0
0.86035186,0.85573816,0.9955354,1.0263587,0.95757747,0.0
0.5233378,1.1312319,1.6786144,1.0144969,0.77925724,0.0
0.66468555,0.6061508,0.83594537,0.8326144,0.8690685,0.0
0.7436916,1.4056243,0.66210055,0.98926836,1.092084,0.0
0.72004515,0.8907787,1.1320152,1.220222,0.9399664,0.0
0.9125584,0.78490907,0.862524,0.9639417,0.82907933,1.0
0.93857795,0.89689547,1.2186011,0.9607621,0.9055244,0.0
2.9252045,1.5485786,0.8910856,1.6171452,2.1572247,1.0
0.68932414,0.66551495,0.71705365,0.9808123,0.7901207,0.0
0.9336222,0.66868085,0.80920875,0.64517283,0.67894435,0.0
0.8894775,0.66919315,0.50974464,0.9485553,0.9676021,0.0
0.9165324,0.7043054,2.3242826,1.3008839,1.0638441,0.0
0.8196976,1.1771483,0.8711439,0.847995,0.7655313,0.0
0.9247471,0.87767947,0.9983323,0.8901268,0.8810855,1.0
1.0152646,0.7760567,1.4953059,1.0129235,0.8859932,1.0
0.5729753,0.8789961,0.6733981,0.99709696,1.0515513,0.0
0.99553734,1.0776106,0.6586471,0.82783467,0.7879758,0.0
0.877372,0.7162213,0.8190691,0.8655913,0.7552251,1.0
0.7373345,0.67428017,0.8490214,0.6522013,0.6034574,0.0
1.0064101,0.5648347,1.5887734,1.2515659,1.1847186,0.0
0.72664523,0.819591,0.31467414,0.77583677,0.81852484,0.0
0.9455292,1.2017741,0.23976898,0.8467962,0.76722455,1.0
0.427779,0.78477585,0.84823126,0.78589904,0.78628445,1.0
0.9779778,1.4304292,1.1918803,1.1530252,1.5244637,0.0
0.900771,0.81776726,1.1525656,0.8525725,0.7436421,1.0
0.8917923,0.7910411,1.3916464,0.9463751,0.8936481,1.0
2.4985473,1.7814704,0.77885514,1.341017,1.6901332,1.0
0.76323426,0.7701039,0.8183185,0.81146973,0.9369396,0.0
0.9502798,1.3913211,0.9027869,1.3156755,1.2457777,1.0
0.98100865,0.78054434,1.1966761,0.92443913,0.90620875,0.0
0.93772155,0.65012574,0.5789944,0.66770667,0.7152458,0.0
1.3541362,0.6965801,0.488447,0.6380076,0.6903787,1.0
0.7689483,0.77986807,0.8675095,0.87193257,0.7809623,1.0
0.80476415,1.0139074,1.4065078,0.8723907,0.84397656,0.0
1.3379894,0.72416687,0.9892621,0.7995574,0.68319505,1.0
1.2927763,1.1631219,1.1677195,1.2035716,1.1873798,1.0
0.92541194,1.0213715,0.908997,0.84030914,0.7648352,0.0
0.74825287,0.82134306,0.80333847,0.648397,0.7790187,0.0
0.8001904,0.7142541,0.90696645,0.90754473,0.87364966,0.0
2.3031445,1.5785885,0.9932125,1.2836474,1.1623151,1.0
0.75067604,0.8746416,0.8829399,0.92967695,0.74880594,1.0
1.5730066,1.4905566,0.24255484,0.97279936,1.1136154,1.0
0.8153485,0.72625196,0.5594989,0.6888693,0.6645086,1.0
0.791694,0.7445201,1.0039419,0.6445244,0.56949055,0.0
0.50556725,0.56097716,0.31890348,0.6725162,0.6578001,0.0
0.7957626,0.9773146,0.920635,0.7537789,0.6654999,1.0
0.86896336,0.9852858,0.90075636,0.8516713,0.7647765,1.0
0.99414164,1.0119197,1.2998933,0.97155905,0.8685601,1.0
2.219674,1.2065179,0.5432926,1.2351207,1.186193,1.0
0.94385415,1.6607699,0.6340572,1.1611898,1.1576871,0.0
0.84660536,1.0094095,0.6153463,0.6941845,0.7848278,0.0
0.80696034,0.9672532,0.37814906,0.725448,0.7771593,0.0
0.5632291,1.0984864,1.7071682,1.8265289,1.9041799,0.0
1.2360576,2.2665825,3.0546882,1.8940855,1.6751148,0.0
0.76220906,1.6489974,0.8080157,1.1095755,1.037362,1.0
0.6810261,0.97148985,0.36715657,0.7618275,0.73316187,1.0
0.90770185,1.4475961,1.060212,1.2458938,1.0421876,1.0
0.9965944,0.76564693,0.6990041,0.79077107,0.71916026,1.0
0.86266434,1.1087322,0.7681273,0.90286607,0.8159595,1.0
0.5652554,0.89961565,1.163137,0.9582933,0.80082184,1.0
0.6797524,0.6470776,0.6393935,0.6525195,0.615015,1.0
0.8814144,0.56682235,0.46818045,0.57737213,0.64944327,0.0
0.58156294,1.0823134,0.86179703,0.9327019,0.9944068,1.0
0.8888332,0.8607176,0.4477606,1.0330094,0.91502106,0.0
0.831811,0.82346904,0.90710866,0.97368866,0.9337486,1.0
0.8803562,1.1521384,1.0964534,1.009155,0.8505169,0.0
0.92681223,0.64039737,0.65314966,0.6948656,0.6185306,1.0
0.8768246,1.1421335,0.89744586,0.9562738,1.0909598,1.0
0.91583335,0.88102984,0.83836305,0.98583597,0.92736274,1.0
0.9781203,1.0639939,0.88378525,0.9571215,0.9106941,1.0
